Financial Ratio Edge Case Log
============================================================

ROE | ABB | Dec 2012 | Computed=22.41 | Source=34.90 | Difference=12.49 | Category=DATA_SOURCE_ISSUE
ROCE | ABB | Dec 2012 | Computed=36.32 | Source=46.00 | Difference=9.68 | Category=FORMULA_DISCREPANCY
ROE | ABB | Mar 2014 | Computed=25.13 | Source=34.90 | Difference=9.77 | Category=DATA_SOURCE_ISSUE
ROCE | ABB | Mar 2014 | Computed=40.10 | Source=46.00 | Difference=5.90 | Category=FORMULA_DISCREPANCY
ROE | ABB | Mar 2015 | Computed=24.44 | Source=34.90 | Difference=10.46 | Category=DATA_SOURCE_ISSUE
ROCE | ABB | Mar 2015 | Computed=38.42 | Source=46.00 | Difference=7.58 | Category=FORMULA_DISCREPANCY
ROE | ABB | Mar 2016 | Computed=21.34 | Source=34.90 | Difference=13.56 | Category=DATA_SOURCE_ISSUE
ROCE | ABB | Mar 2016 | Computed=34.73 | Source=46.00 | Difference=11.27 | Category=FORMULA_DISCREPANCY
ROE | ABB | Mar 2017 | Computed=19.97 | Source=34.90 | Difference=14.93 | Category=DATA_SOURCE_ISSUE
ROCE | ABB | Mar 2017 | Computed=32.80 | Source=46.00 | Difference=13.20 | Category=FORMULA_DISCREPANCY
ROE | ABB | Mar 2018 | Computed=23.69 | Source=34.90 | Difference=11.21 | Category=DATA_SOURCE_ISSUE
ROCE | ABB | Mar 2018 | Computed=37.92 | Source=46.00 | Difference=8.08 | Category=FORMULA_DISCREPANCY
ROE | ABB | Mar 2019 | Computed=22.41 | Source=34.90 | Difference=12.49 | Category=DATA_SOURCE_ISSUE
ROCE | ABB | Mar 2019 | Computed=35.76 | Source=46.00 | Difference=10.24 | Category=FORMULA_DISCREPANCY
ROE | ABB | Mar 2020 | Computed=24.39 | Source=34.90 | Difference=10.51 | Category=DATA_SOURCE_ISSUE
ROCE | ABB | Mar 2020 | Computed=33.42 | Source=46.00 | Difference=12.58 | Category=FORMULA_DISCREPANCY
ROE | ABB | Mar 2021 | Computed=26.56 | Source=34.90 | Difference=8.34 | Category=DATA_SOURCE_ISSUE
ROCE | ABB | Mar 2021 | Computed=36.41 | Source=46.00 | Difference=9.59 | Category=FORMULA_DISCREPANCY
ROE | ABB | Mar 2022 | Computed=28.33 | Source=34.90 | Difference=6.57 | Category=DATA_SOURCE_ISSUE
ROCE | ABB | Mar 2022 | Computed=39.20 | Source=46.00 | Difference=6.80 | Category=FORMULA_DISCREPANCY
ROE | ABB | Mar 2023 | Computed=29.77 | Source=34.90 | Difference=5.13 | Category=DATA_SOURCE_ISSUE
